pin,r,g,b,total
1136,255,60,0,315
1137,255,84,0,339
1138,255,120,0,375
1139,255,92,0,347
1140,255,102,0,357
1141,255,104,0,359
1142,255,74,0,329
1143,255,98,0,353
1144,255,148,0,403
1145,255,110,0,365
1146,255,59,0,314
1147,255,112,0,367
1148,255,88,0,343
1149,255,102,0,357
1150,255,84,0,339
1151,255,91,0,346
1152,255,94,0,349
1153,255,88,0,343
1154,255,94,0,349
1155,255,139,0,394
1156,255,94,0,349
1157,255,82,0,337
1158,255,65,0,320
1159,255,85,0,340
1160,255,63,0,318
1161,255,69,0,324
1162,255,99,0,354
1163,255,81,0,336
1164,255,61,0,316
1165,255,61,0,316
1166,255,108,0,363
1167,255,87,0,342
1168,255,87,0,342
1169,255,93,0,348
1170,255,66,0,321
1171,255,79,0,334
1172,255,101,0,356
1173,255,86,0,341
1174,255,96,0,351
1175,255,108,0,363
1176,255,68,0,323
1177,255,140,0,395
1178,255,107,0,362
1179,255,77,0,332
1180,255,89,0,344
1181,255,72,0,327
1182,255,110,0,365
1183,255,60,0,315
1184,255,79,0,334
1185,255,101,0,356
1186,255,79,0,334
1187,255,110,0,365
1188,255,152,0,407
1189,255,67,0,322
1190,255,77,0,332
1191,255,88,0,343
1192,255,121,0,376
1193,255,63,0,318
1194,255,60,0,315
1195,255,52,0,307
1196,255,48,0,303
1197,255,73,0,328
1198,255,95,0,350
1199,255,143,0,398
1200,255,162,0,417
1201,255,187,0,442
1202,255,187,0,442
1203,255,192,0,447
1204,255,195,0,450
1205,255,201,0,456
1206,255,182,0,437
1207,255,182,0,437
1208,255,182,0,437
1209,255,209,0,464
1210,255,208,0,463
1211,255,217,0,472
1212,255,255,126,636
1213,255,235,0,490
1214,255,213,0,468
1215,255,200,0,455
1216,255,189,0,444
1217,255,191,0,446
1218,255,193,0,448
1219,255,180,0,435
1220,255,202,0,457
1221,255,251,0,506
1222,255,206,0,461
1223,255,239,0,494
1224,255,249,0,504
1225,255,247,0,502
1226,255,203,0,458
1227,255,209,0,464
1228,255,200,0,455
1229,255,188,0,443
1230,255,255,20,530
1231,255,255,10,520
1232,255,187,0,442
1233,255,255,0,510
1234,255,255,255,765
1235,255,246,0,501
1236,255,212,0,467
1237,255,129,0,384
1238,255,117,0,372
1239,255,115,0,370
1240,255,118,0,373
1241,255,111,0,366
1242,255,99,0,354
1243,255,181,0,436
1244,255,133,0,388
1245,255,224,0,479
1246,255,88,0,343
1247,255,103,0,358
1248,255,149,0,404
1249,255,87,0,342
1250,255,128,0,383
1251,255,79,0,334
1252,255,90,0,345
1253,255,102,0,357
1254,255,172,0,427
1255,255,126,0,381
1256,255,168,0,423
1257,255,96,0,351
1258,255,135,0,390
1259,255,74,0,329
1260,255,84,0,339
1261,255,58,0,313
1262,255,76,0,331
1263,255,84,0,339
1264,255,74,0,329
